Sample	Tissue	Donor	Gender
GTEX.1I1GT.1326.SM.ACKWB	Visceral	GTEX.1I1GT	Female
GTEX.1I1GU.0626.SM.CMKHR	Visceral	GTEX.1I1GU	Male
GTEX.1I1GU.2326.SM.CGQFB	Subcutaneous	GTEX.1I1GU	Male
GTEX.1I1GV.0426.SM.ARZLX	Subcutaneous	GTEX.1I1GV	Male
GTEX.1I1HK.0226.SM.COH4A	Subcutaneous	GTEX.1I1HK	Male
GTEX.1I4MK.0726.SM.ACKWC	Visceral	GTEX.1I4MK	Female
GTEX.1I4MK.2026.SM.B2LVR	Subcutaneous	GTEX.1I4MK	Female
GTEX.1I6K6.0226.SM.ADEID	Subcutaneous	GTEX.1I6K6	Male
GTEX.1I6K6.1526.SM.CGQFC	Visceral	GTEX.1I6K6	Male
GTEX.1I6K7.0226.SM.CJI46	Subcutaneous	GTEX.1I6K7	Male
GTEX.1I6K7.1826.SM.CGQFO	Visceral	GTEX.1I6K7	Male
GTEX.1ICG6.1726.SM.ARU7K	Visceral	GTEX.1ICG6	Female
GTEX.1ICG6.2626.SM.CGQG1	Subcutaneous	GTEX.1ICG6	Female
GTEX.1ICLY.0226.SM.ARL7R	Subcutaneous	GTEX.1ICLY	Male
GTEX.1ICLY.1426.SM.CJI48	Visceral	GTEX.1ICLY	Male
GTEX.1ICLZ.0226.SM.CKZPP	Subcutaneous	GTEX.1ICLZ	Male
GTEX.1ICLZ.1626.SM.CE6SS	Visceral	GTEX.1ICLZ	Male
GTEX.1IDFM.0226.SM.CMKFX	Subcutaneous	GTEX.1IDFM	Male
GTEX.1IDJC.0226.SM.CMKG2	Visceral	GTEX.1IDJC	Male
GTEX.1IDJD.0926.SM.ACKWW	Visceral	GTEX.1IDJD	Male
GTEX.1IDJD.1226.SM.CM2TP	Subcutaneous	GTEX.1IDJD	Male
GTEX.1IDJF.0226.SM.CMKGE	Subcutaneous	GTEX.1IDJF	Male
GTEX.1IDJF.1726.SM.A9SLL	Visceral	GTEX.1IDJF	Male
GTEX.1IDJH.1626.SM.A9SLP	Visceral	GTEX.1IDJH	Male
GTEX.1IDJI.0926.SM.ACKWZ	Visceral	GTEX.1IDJI	Female
GTEX.1IDJU.0926.SM.ARL88	Visceral	GTEX.1IDJU	Female
GTEX.1IDJU.2526.SM.CMKGF	Subcutaneous	GTEX.1IDJU	Female
GTEX.1IE54.0226.SM.CMKHX	Subcutaneous	GTEX.1IE54	Female
GTEX.1IE54.1426.SM.CL53C	Visceral	GTEX.1IE54	Female
GTEX.1IGQW.0226.SM.COH43	Subcutaneous	GTEX.1IGQW	Male
GTEX.1IKJJ.0226.SM.COH3T	Subcutaneous	GTEX.1IKJJ	Male
GTEX.1IKK5.0526.SM.CMKGG	Subcutaneous	GTEX.1IKK5	Male
GTEX.1IKK5.0826.SM.ACKWN	Visceral	GTEX.1IKK5	Male
GTEX.1IKOE.1726.SM.CNNQ6	Visceral	GTEX.1IKOE	Female
GTEX.1IL2U.0326.SM.CE6T9	Subcutaneous	GTEX.1IL2U	Male
GTEX.1IL2U.2726.SM.C1YSG	Visceral	GTEX.1IL2U	Male
GTEX.1IL2V.0226.SM.CMKI2	Subcutaneous	GTEX.1IL2V	Male
GTEX.1IOXB.0226.SM.CMKHY	Subcutaneous	GTEX.1IOXB	Male
GTEX.1IY9M.0226.SM.CMKHP	Subcutaneous	GTEX.1IY9M	Male
GTEX.1IY9M.1226.SM.ACKX1	Visceral	GTEX.1IY9M	Male
GTEX.1J1OQ.0326.SM.CYPTJ	Subcutaneous	GTEX.1J1OQ	Female
GTEX.1J1OQ.1526.SM.CJI4E	Visceral	GTEX.1J1OQ	Female
GTEX.1J1R8.0526.SM.ACKWO	Visceral	GTEX.1J1R8	Male
GTEX.1J1R8.2226.SM.ARZMP	Subcutaneous	GTEX.1J1R8	Male
GTEX.1J8EW.0226.SM.CYPSW	Subcutaneous	GTEX.1J8EW	Female
GTEX.1J8EW.1526.SM.CMKFZ	Visceral	GTEX.1J8EW	Female
GTEX.1J8JJ.0326.SM.CMKG6	Subcutaneous	GTEX.1J8JJ	Female
GTEX.1J8Q2.2226.SM.CM2TZ	Visceral	GTEX.1J8Q2	Male
GTEX.1J8Q3.1526.SM.CMKGB	Subcutaneous	GTEX.1J8Q3	Male
GTEX.1J8QM.2326.SM.CYPSL	Subcutaneous	GTEX.1J8QM	Female
GTEX.1JJ6O.0226.SM.E6CI9	Subcutaneous	GTEX.1JJ6O	Male
GTEX.1JJ6O.2826.SM.CNNP7	Visceral	GTEX.1JJ6O	Male
GTEX.1JJE9.1226.SM.CNPOI	Subcutaneous	GTEX.1JJE9	Male
GTEX.1JJE9.1526.SM.CM2RR	Visceral	GTEX.1JJE9	Male
GTEX.1JJEA.0226.SM.COH2X	Subcutaneous	GTEX.1JJEA	Male
GTEX.1JK1U.2126.SM.CNPOU	Subcutaneous	GTEX.1JK1U	Male
GTEX.1JKYN.0526.SM.CGQG3	Visceral	GTEX.1JKYN	Male
GTEX.1JKYN.1226.SM.CGQG8	Subcutaneous	GTEX.1JKYN	Male
GTEX.1JKYR.0226.SM.CNPOK	Subcutaneous	GTEX.1JKYR	Male
GTEX.1JKYR.1226.SM.CM2S7	Visceral	GTEX.1JKYR	Male
GTEX.1JMLX.0126.SM.CMKG9	Subcutaneous	GTEX.1JMLX	Male
GTEX.1JMLX.1026.SM.D3L8U	Visceral	GTEX.1JMLX	Male
GTEX.1JMPY.0326.SM.CM2S2	Visceral	GTEX.1JMPY	Male
GTEX.1JMPY.1426.SM.ARL8Z	Subcutaneous	GTEX.1JMPY	Male
GTEX.1JMQI.1026.SM.COH2U	Visceral	GTEX.1JMQI	Male
GTEX.1JMQI.2026.SM.CMKGP	Subcutaneous	GTEX.1JMQI	Male
GTEX.1JMQJ.1926.SM.D4P3A	Visceral	GTEX.1JMQJ	Male
GTEX.1JMQK.0126.SM.CM2S3	Subcutaneous	GTEX.1JMQK	Male
GTEX.1JMQK.1326.SM.CNPOR	Visceral	GTEX.1JMQK	Male
GTEX.1JMQL.0326.SM.CNPP6	Subcutaneous	GTEX.1JMQL	Female
GTEX.1JN1M.0126.SM.D4P23	Subcutaneous	GTEX.1JN1M	Female
GTEX.1JN6P.0226.SM.COH34	Subcutaneous	GTEX.1JN6P	Male
GTEX.1JN6P.1626.SM.CYPSV	Visceral	GTEX.1JN6P	Male
GTEX.1JN76.0226.SM.CMKGO	Subcutaneous	GTEX.1JN76	Female
GTEX.1JN76.1026.SM.ARZNI	Visceral	GTEX.1JN76	Female
GTEX.1K2DA.1126.SM.CGQGG	Visceral	GTEX.1K2DA	Male
GTEX.1K2DA.2126.SM.CGQGL	Subcutaneous	GTEX.1K2DA	Male
GTEX.1K2DU.0726.SM.DIPF7	Visceral	GTEX.1K2DU	Male
GTEX.1K9T9.0226.SM.E9U6K	Subcutaneous	GTEX.1K9T9	Female
GTEX.1K9T9.1626.SM.DIPFS	Visceral	GTEX.1K9T9	Female
GTEX.1KAFJ.0826.SM.CYPTF	Visceral	GTEX.1KAFJ	Male
GTEX.1KAFJ.2426.SM.D4P32	Subcutaneous	GTEX.1KAFJ	Male
GTEX.1KANA.0826.SM.D3L9J	Subcutaneous	GTEX.1KANA	Male
GTEX.1KANA.1426.SM.CY8IF	Visceral	GTEX.1KANA	Male
GTEX.1KANB.2426.SM.EV7BE	Visceral	GTEX.1KANB	Male
GTEX.1KANC.0526.SM.D4P3T	Visceral	GTEX.1KANC	Female
GTEX.1KD4Q.1426.SM.D4P3K	Visceral	GTEX.1KD4Q	Male
GTEX.1KD5A.0326.SM.D5OVD	Subcutaneous	GTEX.1KD5A	Male
GTEX.1KD5A.1326.SM.CYPTB	Visceral	GTEX.1KD5A	Male
GTEX.1KWVE.0226.SM.E9TKK	Visceral	GTEX.1KWVE	Male
GTEX.1KWVE.1326.SM.E6CJ1	Subcutaneous	GTEX.1KWVE	Male
GTEX.1KXAM.0526.SM.DKPQN	Visceral	GTEX.1KXAM	Male
GTEX.1KXAM.2326.SM.CYPTD	Subcutaneous	GTEX.1KXAM	Male
GTEX.1L5NE.1726.SM.DHXKX	Visceral	GTEX.1L5NE	Male
GTEX.1L5NE.2626.SM.E9U6P	Subcutaneous	GTEX.1L5NE	Male
GTEX.1LB8K.0326.SM.E9TJC	Subcutaneous	GTEX.1LB8K	Male
GTEX.1LBAC.0226.SM.DHXJZ	Subcutaneous	GTEX.1LBAC	Male
GTEX.1LBAC.1026.SM.CXKYA	Visceral	GTEX.1LBAC	Male
GTEX.1LG7Y.0426.SM.DKPQB	Subcutaneous	GTEX.1LG7Y	Male
GTEX.1LG7Y.1126.SM.CYPTE	Visceral	GTEX.1LG7Y	Male
GTEX.1LG7Z.0226.SM.E6CIG	Visceral	GTEX.1LG7Z	Male
GTEX.1LG7Z.2026.SM.DLHBP	Subcutaneous	GTEX.1LG7Z	Male
GTEX.1LGOU.0826.SM.DHXKL	Visceral	GTEX.1LGOU	Female
GTEX.1LGOU.2226.SM.E9U56	Subcutaneous	GTEX.1LGOU	Female
GTEX.1LGRB.0526.SM.COH3A	Visceral	GTEX.1LGRB	Female
GTEX.1LGRB.2426.SM.CNPP3	Subcutaneous	GTEX.1LGRB	Female
GTEX.1LH75.1026.SM.EWROK	Visceral	GTEX.1LH75	Female
GTEX.1LH75.2526.SM.E9U5A	Subcutaneous	GTEX.1LH75	Female
GTEX.1LKK1.1526.SM.EVYCO	Visceral	GTEX.1LKK1	Female
GTEX.1LSNL.0526.SM.DIPFI	Subcutaneous	GTEX.1LSNL	Male
GTEX.1LSNL.1426.SM.E6CJ9	Visceral	GTEX.1LSNL	Male
GTEX.1LSNM.0626.SM.DIPG7	Visceral	GTEX.1LSNM	Male
GTEX.1LSNM.2026.SM.E6CIJ	Subcutaneous	GTEX.1LSNM	Male
GTEX.1LSVX.0126.SM.EVYCY	Subcutaneous	GTEX.1LSVX	Male
GTEX.1LSVX.1326.SM.DIPET	Visceral	GTEX.1LSVX	Male
GTEX.1LVA9.0226.SM.E9U5N	Subcutaneous	GTEX.1LVA9	Male
GTEX.1LVAM.1026.SM.DIPFK	Visceral	GTEX.1LVAM	Female
GTEX.1LVAN.0126.SM.COH4H	Subcutaneous	GTEX.1LVAN	Female
GTEX.1LVAN.0926.SM.CNNQ2	Visceral	GTEX.1LVAN	Female
GTEX.1LVAO.0226.SM.E9U6O	Subcutaneous	GTEX.1LVAO	Male
GTEX.1LVAO.2126.SM.DIPGA	Visceral	GTEX.1LVAO	Male
GTEX.1M5QR.2126.SM.DKPQM	Subcutaneous	GTEX.1M5QR	Male
GTEX.1MA7W.0526.SM.E6CIN	Visceral	GTEX.1MA7W	Female
GTEX.1MA7W.1926.SM.E6CIO	Subcutaneous	GTEX.1MA7W	Female
GTEX.1MA7X.1026.SM.DKPQ8	Visceral	GTEX.1MA7X	Male
GTEX.1MA7X.2126.SM.E6CIX	Subcutaneous	GTEX.1MA7X	Male
GTEX.1MCC2.0626.SM.DKPQI	Visceral	GTEX.1MCC2	Female
GTEX.1MCC2.2326.SM.E9U5G	Subcutaneous	GTEX.1MCC2	Female
GTEX.1MCQQ.1426.SM.E6CJA	Visceral	GTEX.1MCQQ	Male
GTEX.1MCYP.1826.SM.E9J2Q	Subcutaneous	GTEX.1MCYP	Female
GTEX.1MGNQ.0226.SM.EVYCK	Subcutaneous	GTEX.1MGNQ	Male
GTEX.1MJK2.0526.SM.DTXE6	Subcutaneous	GTEX.1MJK2	Male
GTEX.1MJK3.0626.SM.E6CJB	Visceral	GTEX.1MJK3	Male
GTEX.1MUQO.0526.SM.E9J31	Subcutaneous	GTEX.1MUQO	Male
GTEX.1MUQO.0826.SM.EVYCZ	Visceral	GTEX.1MUQO	Male
GTEX.1N2DV.0626.SM.E9U5H	Visceral	GTEX.1N2DV	Male
GTEX.1N2DW.0326.SM.E9TK3	Subcutaneous	GTEX.1N2DW	Male
GTEX.1N2DW.0726.SM.DTX97	Visceral	GTEX.1N2DW	Male
GTEX.1N2EE.1526.SM.DTXE9	Visceral	GTEX.1N2EE	Male
GTEX.1N2EF.0626.SM.E9J32	Subcutaneous	GTEX.1N2EF	Male
GTEX.1N2EF.0926.SM.E8VNW	Visceral	GTEX.1N2EF	Male
GTEX.1NHNU.1126.SM.E9J2C	Subcutaneous	GTEX.1NHNU	Male
GTEX.1NV5F.2526.SM.EXUSK	Visceral	GTEX.1NV5F	Female
GTEX.1O9I2.1326.SM.E6CQD	Visceral	GTEX.1O9I2	Male
GTEX.1OFPY.0826.SM.DTX8P	Visceral	GTEX.1OFPY	Male
GTEX.1OFPY.2326.SM.E8VNU	Subcutaneous	GTEX.1OFPY	Male
GTEX.1OJC3.1326.SM.E9J3D	Visceral	GTEX.1OJC3	Male
GTEX.1OJC4.1726.SM.EXUSV	Subcutaneous	GTEX.1OJC4	Female
GTEX.1OKEX.0926.SM.E8VNJ	Visceral	GTEX.1OKEX	Male
GTEX.1P4AB.1226.SM.DTXET	Visceral	GTEX.1P4AB	Male
GTEX.1PBJI.0426.SM.E8VNM	Subcutaneous	GTEX.1PBJI	Female
GTEX.1PBJI.1326.SM.E9J2V	Visceral	GTEX.1PBJI	Female
GTEX.1PDJ9.0426.SM.E9J3E	Subcutaneous	GTEX.1PDJ9	Male
GTEX.1PFEY.0726.SM.E76PO	Visceral	GTEX.1PFEY	Male
GTEX.1PFEY.1626.SM.E9J3M	Subcutaneous	GTEX.1PFEY	Male
GTEX.1PIGE.0526.SM.DTXFA	Subcutaneous	GTEX.1PIGE	Male
GTEX.1PIGE.1226.SM.EVR3Q	Visceral	GTEX.1PIGE	Male
GTEX.1PIIG.0326.SM.EVYBV	Subcutaneous	GTEX.1PIIG	Male
GTEX.1POEN.0226.SM.EYYXE	Subcutaneous	GTEX.1POEN	Female
GTEX.1POEN.1626.SM.EVYC2	Visceral	GTEX.1POEN	Female
GTEX.1PPGY.0326.SM.DTXFD	Subcutaneous	GTEX.1PPGY	Male
GTEX.1PPH8.0626.SM.EWRN9	Subcutaneous	GTEX.1PPH8	Male
GTEX.1PPH8.1026.SM.DPRXN	Visceral	GTEX.1PPH8	Male
GTEX.1PWST.0326.SM.EAZ42	Subcutaneous	GTEX.1PWST	Male
GTEX.1QAET.1126.SM.E8VML	Subcutaneous	GTEX.1QAET	Male
GTEX.1QAET.1226.SM.DTX9I	Visceral	GTEX.1QAET	Male
GTEX.1QCLY.0526.SM.EAZ47	Subcutaneous	GTEX.1QCLY	Male
GTEX.1QCLY.1226.SM.EVYC3	Visceral	GTEX.1QCLY	Male
GTEX.1QEPI.0226.SM.EWRMR	Subcutaneous	GTEX.1QEPI	Female
GTEX.1QEPI.2226.SM.E8VN6	Visceral	GTEX.1QEPI	Female
GTEX.1QMI2.1626.SM.EYYXK	Visceral	GTEX.1QMI2	Male
GTEX.1QP28.0226.SM.E9J2N	Subcutaneous	GTEX.1QP28	Female
GTEX.1QP28.0926.SM.EVR4D	Visceral	GTEX.1QP28	Female
GTEX.1QP29.0726.SM.DTXFM	Subcutaneous	GTEX.1QP29	Male
GTEX.1QP29.1626.SM.EXUSZ	Visceral	GTEX.1QP29	Male
GTEX.1QP2A.0226.SM.EVYBC	Subcutaneous	GTEX.1QP2A	Male
GTEX.1QP66.0626.SM.E76PD	Visceral	GTEX.1QP66	Male
GTEX.1QP66.1326.SM.DTXDQ	Subcutaneous	GTEX.1QP66	Male
GTEX.1QP67.1126.SM.EAZ4C	Visceral	GTEX.1QP67	Female
GTEX.1QP67.1726.SM.E8VOP	Subcutaneous	GTEX.1QP67	Female
GTEX.1QP6S.0126.SM.E9J4K	Subcutaneous	GTEX.1QP6S	Male
GTEX.1QP6S.1626.SM.EVYC5	Visceral	GTEX.1QP6S	Male
GTEX.1QP9N.0426.SM.DTXFT	Visceral	GTEX.1QP9N	Male
GTEX.1QP9N.1526.SM.DTXFK	Subcutaneous	GTEX.1QP9N	Male
GTEX.1QPFJ.0126.SM.E9J4B	Subcutaneous	GTEX.1QPFJ	Female
GTEX.1QPFJ.2126.SM.EXOJV	Visceral	GTEX.1QPFJ	Female
GTEX.1QW4Y.0826.SM.DTXE1	Visceral	GTEX.1QW4Y	Male
GTEX.1QW4Y.1626.SM.EAZ41	Subcutaneous	GTEX.1QW4Y	Male
GTEX.1R46S.0526.SM.EVYBZ	Subcutaneous	GTEX.1R46S	Female
GTEX.1R7EU.0326.SM.EWRNJ	Subcutaneous	GTEX.1R7EU	Male
GTEX.1R7EV.1026.SM.DTX81	Visceral	GTEX.1R7EV	Male
GTEX.1R7EV.1926.SM.EVYBF	Subcutaneous	GTEX.1R7EV	Male
GTEX.1R9K4.1426.SM.DPRY4	Visceral	GTEX.1R9K4	Male
GTEX.1R9K5.0226.SM.EWRNF	Subcutaneous	GTEX.1R9K5	Male
GTEX.1R9PM.2126.SM.E8VOB	Subcutaneous	GTEX.1R9PM	Male
GTEX.1R9PO.0926.SM.E9U4Q	Visceral	GTEX.1R9PO	Female
GTEX.1RAZA.0226.SM.E9U4W	Subcutaneous	GTEX.1RAZA	Male
GTEX.1RAZA.0926.SM.E6CQ8	Visceral	GTEX.1RAZA	Male
GTEX.1RAZQ.0626.SM.E8VOR	Subcutaneous	GTEX.1RAZQ	Male
GTEX.1RAZQ.1526.SM.E6CJI	Visceral	GTEX.1RAZQ	Male
GTEX.1RAZR.0226.SM.EVYC6	Subcutaneous	GTEX.1RAZR	Male
GTEX.1RAZR.1026.SM.E8VOJ	Visceral	GTEX.1RAZR	Male
GTEX.1RB15.1126.SM.E8VMX	Visceral	GTEX.1RB15	Male
GTEX.1RDX4.0226.SM.DTXG1	Subcutaneous	GTEX.1RDX4	Female
GTEX.1RLM8.1026.SM.EWROE	Visceral	GTEX.1RLM8	Male
GTEX.1RMOY.0826.SM.E9TIF	Visceral	GTEX.1RMOY	Male
GTEX.1RNTQ.0826.SM.E9TK8	Visceral	GTEX.1RNTQ	Female
GTEX.1RQEC.0526.SM.E6CHV	Subcutaneous	GTEX.1RQEC	Male
GTEX.1RQEC.2526.SM.EVYD2	Visceral	GTEX.1RQEC	Male
GTEX.1S3DN.1626.SM.EVYCC	Visceral	GTEX.1S3DN	Male
GTEX.1S5VW.2426.SM.EAZ52	Visceral	GTEX.1S5VW	Male
GTEX.1S5ZA.1026.SM.EWRO2	Visceral	GTEX.1S5ZA	Male
GTEX.1S5ZU.0226.SM.E6CHW	Subcutaneous	GTEX.1S5ZU	Female
GTEX.1S82P.0226.SM.E6CI6	Subcutaneous	GTEX.1S82P	Female
GTEX.1S82P.0926.SM.EWRNP	Visceral	GTEX.1S82P	Female
GTEX.1S831.0326.SM.EVYD3	Subcutaneous	GTEX.1S831	Male
GTEX.1S831.1926.SM.EV79P	Visceral	GTEX.1S831	Male
GTEX.1S83E.0226.SM.EVYCW	Subcutaneous	GTEX.1S83E	Male
GTEX.N7MS.0326.SM.4E3K2	Subcutaneous	GTEX.N7MS	Male
GTEX.NFK9.0326.SM.3MJGV	Subcutaneous	GTEX.NFK9	Male
GTEX.NPJ8.0226.SM.48TBN	Subcutaneous	GTEX.NPJ8	Male
GTEX.O5YT.0226.SM.32PK5	Subcutaneous	GTEX.O5YT	Male
GTEX.O5YV.0226.SM.48TBY	Subcutaneous	GTEX.O5YV	Female
GTEX.OHPK.0226.SM.3MJH6	Subcutaneous	GTEX.OHPK	Female
GTEX.OHPM.0226.SM.3LK61	Subcutaneous	GTEX.OHPM	Male
GTEX.OHPN.0226.SM.48TBV	Subcutaneous	GTEX.OHPN	Female
GTEX.OIZF.0226.SM.E9TI3	Subcutaneous	GTEX.OIZF	Male
GTEX.OIZG.0826.SM.E9TI4	Subcutaneous	GTEX.OIZG	Male
GTEX.OIZH.0226.SM.2YUMH	Subcutaneous	GTEX.OIZH	Male
GTEX.OIZI.0226.SM.2XCEE	Subcutaneous	GTEX.OIZI	Male
GTEX.OOBJ.0226.SM.2YUMM	Subcutaneous	GTEX.OOBJ	Male
GTEX.OOBK.0226.SM.2YUMF	Subcutaneous	GTEX.OOBK	Male
GTEX.OXRK.0326.SM.3NB3R	Subcutaneous	GTEX.OXRK	Female
GTEX.OXRL.0226.SM.3NB18	Subcutaneous	GTEX.OXRL	Male
GTEX.OXRN.0226.SM.2I5EJ	Subcutaneous	GTEX.OXRN	Male
GTEX.OXRO.0226.SM.3LK6F	Subcutaneous	GTEX.OXRO	Female
GTEX.OXRP.0226.SM.3NB14	Subcutaneous	GTEX.OXRP	Female
GTEX.P44G.2326.SM.2XCCZ	Subcutaneous	GTEX.P44G	Male
GTEX.P44H.0326.SM.2XCES	Subcutaneous	GTEX.P44H	Male
GTEX.P4PP.0226.SM.D4P1Z	Subcutaneous	GTEX.P4PP	Female
GTEX.P4PQ.0226.SM.2S1NK	Subcutaneous	GTEX.P4PQ	Male
GTEX.P4QS.0226.SM.3NB1U	Subcutaneous	GTEX.P4QS	Male
GTEX.P4QT.0226.SM.3LK68	Subcutaneous	GTEX.P4QT	Female
GTEX.P78B.0226.SM.3NB1Z	Subcutaneous	GTEX.P78B	Female
GTEX.PLZ4.0226.SM.CYPR1	Subcutaneous	GTEX.PLZ4	Female
GTEX.PLZ5.1826.SM.3NB22	Subcutaneous	GTEX.PLZ5	Male
GTEX.PLZ6.1326.SM.3NB24	Subcutaneous	GTEX.PLZ6	Male
GTEX.POMQ.2326.SM.DHXIS	Subcutaneous	GTEX.POMQ	Female
GTEX.POYW.0726.SM.2XCEO	Subcutaneous	GTEX.POYW	Male
GTEX.PSDG.0326.SM.48TCP	Subcutaneous	GTEX.PSDG	Male
GTEX.PWCY.1926.SM.3NB25	Subcutaneous	GTEX.PWCY	Female
GTEX.PWN1.0226.SM.DKPO9	Subcutaneous	GTEX.PWN1	Female
GTEX.PX3G.0226.SM.DKPOF	Subcutaneous	GTEX.PX3G	Female
GTEX.Q2AG.0226.SM.2S1P4	Subcutaneous	GTEX.Q2AG	Female
GTEX.Q2AH.1726.SM.DIPDV	Subcutaneous	GTEX.Q2AH	Male
GTEX.Q2AI.1426.SM.2S1P5	Subcutaneous	GTEX.Q2AI	Male
GTEX.Q734.1826.SM.2I3EL	Subcutaneous	GTEX.Q734	Female
GTEX.QCQG.1826.SM.2S1P2	Subcutaneous	GTEX.QCQG	Female
GTEX.QDT8.0226.SM.32PL4	Subcutaneous	GTEX.QDT8	Female
GTEX.QDVJ.1826.SM.2S1P3	Subcutaneous	GTEX.QDVJ	Male
GTEX.QDVN.2126.SM.33HBS	Subcutaneous	GTEX.QDVN	Male
GTEX.QEG4.0326.SM.DIPE3	Subcutaneous	GTEX.QEG4	Male
GTEX.QEG5.0326.SM.2S1PB	Subcutaneous	GTEX.QEG5	Male
GTEX.QEL4.0326.SM.3GAE5	Subcutaneous	GTEX.QEL4	Male
GTEX.QESD.1526.SM.2S1QT	Subcutaneous	GTEX.QESD	Male
GTEX.QLQ7.1526.SM.2S1QA	Subcutaneous	GTEX.QLQ7	Male
GTEX.QLQW.1226.SM.2S1Q9	Subcutaneous	GTEX.QLQW	Male
GTEX.QMRM.1726.SM.2S1QG	Subcutaneous	GTEX.QMRM	Male
GTEX.QV31.1326.SM.2S1QE	Subcutaneous	GTEX.QV31	Male
GTEX.QV44.1825.SM.447CF	Subcutaneous	GTEX.QV44	Male
GTEX.R3RS.0226.SM.EYYVE	Subcutaneous	GTEX.R3RS	Female
GTEX.R45C.0226.SM.EVYAJ	Subcutaneous	GTEX.R45C	Female
GTEX.R53T.1626.SM.3GAEW	Subcutaneous	GTEX.R53T	Female
GTEX.R55C.1626.SM.48FEG	Subcutaneous	GTEX.R55C	Male
GTEX.R55D.0326.SM.48FES	Subcutaneous	GTEX.R55D	Male
GTEX.R55G.2426.SM.2TC5I	Subcutaneous	GTEX.R55G	Female
GTEX.REY6.0326.SM.2TF5A	Subcutaneous	GTEX.REY6	Male
GTEX.RM2N.1726.SM.2TF55	Subcutaneous	GTEX.RM2N	Male
GTEX.RNOR.0226.SM.EZ6MF	Subcutaneous	GTEX.RNOR	Female
GTEX.RTLS.0226.SM.2TF5E	Subcutaneous	GTEX.RTLS	Female
GTEX.RU72.1026.SM.46MUG	Subcutaneous	GTEX.RU72	Female
GTEX.RUSQ.1626.SM.EZ6L4	Subcutaneous	GTEX.RUSQ	Male
GTEX.RVPV.1526.SM.EXOHF	Subcutaneous	GTEX.RVPV	Male
GTEX.RWSA.0226.SM.2XCBA	Subcutaneous	GTEX.RWSA	Male
GTEX.S32W.2226.SM.2XCAY	Subcutaneous	GTEX.S32W	Female
GTEX.S33H.1126.SM.2XCB6	Subcutaneous	GTEX.S33H	Male
GTEX.S4P3.1526.SM.E9J3W	Subcutaneous	GTEX.S4P3	Female
GTEX.S7SE.0226.SM.2XCD4	Subcutaneous	GTEX.S7SE	Male
GTEX.S95S.1326.SM.2XCDK	Subcutaneous	GTEX.S95S	Male
GTEX.SIU8.0226.SM.2XCDS	Subcutaneous	GTEX.SIU8	Male
GTEX.SJXC.0226.SM.2XCDU	Subcutaneous	GTEX.SJXC	Male
GTEX.SN8G.0226.SM.4DM6B	Subcutaneous	GTEX.SN8G	Female
GTEX.SNMC.1326.SM.2XCFK	Subcutaneous	GTEX.SNMC	Male
GTEX.SNOS.1426.SM.32PLY	Subcutaneous	GTEX.SNOS	Male
GTEX.SSA3.0226.SM.32QPN	Subcutaneous	GTEX.SSA3	Male
GTEX.SUCS.1826.SM.32PM1	Subcutaneous	GTEX.SUCS	Male
GTEX.T2IS.0226.SM.32QPH	Subcutaneous	GTEX.T2IS	Female
GTEX.T5JC.0526.SM.32PM7	Subcutaneous	GTEX.T5JC	Male
GTEX.T5JW.1726.SM.3GADN	Subcutaneous	GTEX.T5JW	Female
GTEX.T6MN.0226.SM.32PMD	Subcutaneous	GTEX.T6MN	Male
GTEX.T6MO.1726.SM.33HB8	Subcutaneous	GTEX.T6MO	Female
GTEX.T8EM.1126.SM.3DB7D	Subcutaneous	GTEX.T8EM	Male
GTEX.TKQ1.1126.SM.4GIAZ	Subcutaneous	GTEX.TKQ1	Male
GTEX.TML8.2026.SM.32QOP	Subcutaneous	GTEX.TML8	Female
GTEX.TMZS.0226.SM.3DB9N	Subcutaneous	GTEX.TMZS	Male
GTEX.TSE9.0226.SM.3DB84	Subcutaneous	GTEX.TSE9	Female
GTEX.U3ZM.1026.SM.EZ6LD	Subcutaneous	GTEX.U3ZM	Male
GTEX.U3ZN.2626.SM.3DB7T	Subcutaneous	GTEX.U3ZN	Female
GTEX.U412.0526.SM.3DB9I	Subcutaneous	GTEX.U412	Male
GTEX.U4B1.1726.SM.3DB9F	Subcutaneous	GTEX.U4B1	Male
GTEX.U8XE.0426.SM.3DB91	Subcutaneous	GTEX.U8XE	Male
GTEX.U8XE.1926.SM.3DB98	Visceral	GTEX.U8XE	Male
GTEX.UJHI.1626.SM.3DB9A	Subcutaneous	GTEX.UJHI	Female
GTEX.UPK5.1826.SM.3GAEB	Visceral	GTEX.UPK5	Male
GTEX.UTHO.0426.SM.CE6QU	Subcutaneous	GTEX.UTHO	Male
GTEX.UTHO.1826.SM.3GAFE	Visceral	GTEX.UTHO	Male
GTEX.VJWN.0226.SM.EZ6LF	Subcutaneous	GTEX.VJWN	Female
GTEX.VJWN.2326.SM.EVYAP	Visceral	GTEX.VJWN	Female
GTEX.VJYA.1326.SM.3GIJC	Subcutaneous	GTEX.VJYA	Male
GTEX.VJYA.1626.SM.EXOHL	Visceral	GTEX.VJYA	Male
GTEX.VUSG.1426.SM.3GIJN	Visceral	GTEX.VUSG	Male
GTEX.VUSG.2426.SM.4KKZG	Subcutaneous	GTEX.VUSG	Male
GTEX.VUSH.0226.SM.EXUQV	Subcutaneous	GTEX.VUSH	Male
GTEX.W5WG.2526.SM.4SOJ2	Subcutaneous	GTEX.W5WG	Female
