Sample	Tissue	Donor	Gender
GTEX.131XF.2226.SM.5EQKG	Subcutaneous	GTEX.131XF	Male
GTEX.131XG.0126.SM.5K7UJ	Visceral	GTEX.131XG	Female
GTEX.131XH.0826.SM.5GCN8	Visceral	GTEX.131XH	Male
GTEX.131XW.0526.SM.5PNXZ	Subcutaneous	GTEX.131XW	Female
GTEX.131YS.0226.SM.5IJEH	Subcutaneous	GTEX.131YS	Female
GTEX.131YS.1726.SM.5HL7G	Visceral	GTEX.131YS	Female
GTEX.132AR.0226.SM.5IJBE	Subcutaneous	GTEX.132AR	Female
GTEX.132AR.0526.SM.5J2MJ	Visceral	GTEX.132AR	Female
GTEX.132NY.1126.SM.5PNVE	Visceral	GTEX.132NY	Male
GTEX.132Q8.1726.SM.5EGK8	Visceral	GTEX.132Q8	Male
GTEX.132QS.0826.SM.5K7WV	Visceral	GTEX.132QS	Male
GTEX.132QS.2526.SM.62LFJ	Subcutaneous	GTEX.132QS	Male
GTEX.1339X.0726.SM.5L3FF	Visceral	GTEX.1339X	Male
GTEX.133LE.0926.SM.5P9J1	Visceral	GTEX.133LE	Female
GTEX.133LE.1926.SM.5N9FV	Subcutaneous	GTEX.133LE	Female
GTEX.1399R.2626.SM.5KLZ7	Subcutaneous	GTEX.1399R	Male
GTEX.1399S.1426.SM.5PNYQ	Visceral	GTEX.1399S	Female
GTEX.1399T.1326.SM.5PNVH	Visceral	GTEX.1399T	Male
GTEX.1399T.2726.SM.5K7XK	Subcutaneous	GTEX.1399T	Male
GTEX.1399U.2026.SM.9WPNN	Visceral	GTEX.1399U	Female
GTEX.1399U.2426.SM.5K7XB	Subcutaneous	GTEX.1399U	Female
GTEX.139D8.0326.SM.5IJCJ	Subcutaneous	GTEX.139D8	Female
GTEX.139D8.1626.SM.5IJFZ	Visceral	GTEX.139D8	Female
GTEX.139T4.0126.SM.5HL5G	Subcutaneous	GTEX.139T4	Female
GTEX.139T6.0526.SM.5IJC9	Visceral	GTEX.139T6	Male
GTEX.139T6.2126.SM.5KM37	Subcutaneous	GTEX.139T6	Male
GTEX.139T8.0226.SM.5L3EA	Subcutaneous	GTEX.139T8	Male
GTEX.139TT.0226.SM.5K7YH	Subcutaneous	GTEX.139TT	Male
GTEX.139TU.0226.SM.5J1NM	Subcutaneous	GTEX.139TU	Male
GTEX.139TU.1426.SM.5LZY9	Visceral	GTEX.139TU	Male
GTEX.139YR.0326.SM.5J1MC	Visceral	GTEX.139YR	Male
GTEX.139YR.2426.SM.5J1OB	Subcutaneous	GTEX.139YR	Male
GTEX.13CF2.2626.SM.5LZZA	Subcutaneous	GTEX.13CF2	Male
GTEX.13CF3.1126.SM.5LZXB	Visceral	GTEX.13CF3	Female
GTEX.13CF3.2326.SM.5IFGL	Subcutaneous	GTEX.13CF3	Female
GTEX.13D11.0526.SM.5LZYM	Visceral	GTEX.13D11	Female
GTEX.13D11.2326.SM.5IJCY	Subcutaneous	GTEX.13D11	Female
GTEX.13FH7.1926.SM.5J2OL	Visceral	GTEX.13FH7	Female
GTEX.13FH7.2226.SM.5IJD4	Subcutaneous	GTEX.13FH7	Female
GTEX.13FHO.0326.SM.5IJBH	Subcutaneous	GTEX.13FHO	Male
GTEX.13FHO.2026.SM.5J1OA	Visceral	GTEX.13FHO	Male
GTEX.13FHP.0226.SM.5K7WD	Subcutaneous	GTEX.13FHP	Male
GTEX.13FTW.0426.SM.5K7X2	Visceral	GTEX.13FTW	Male
GTEX.13FTW.2526.SM.5IJC8	Subcutaneous	GTEX.13FTW	Male
GTEX.13FTX.0626.SM.5J2NS	Visceral	GTEX.13FTX	Female
GTEX.13FTY.0626.SM.5L3F8	Subcutaneous	GTEX.13FTY	Female
GTEX.13FXS.1326.SM.62LFR	Visceral	GTEX.13FXS	Male
GTEX.13G51.0526.SM.5IJCQ	Visceral	GTEX.13G51	Male
GTEX.13G51.2626.SM.5LZYW	Subcutaneous	GTEX.13G51	Male
GTEX.13IVO.0226.SM.5LZXU	Subcutaneous	GTEX.13IVO	Male
GTEX.13IVO.2426.SM.5K7V9	Visceral	GTEX.13IVO	Male
GTEX.13JUV.0626.SM.5J1MQ	Visceral	GTEX.13JUV	Female
GTEX.13JUV.2826.SM.5LZWU	Subcutaneous	GTEX.13JUV	Female
GTEX.13JVG.0226.SM.5J1MW	Subcutaneous	GTEX.13JVG	Male
GTEX.13N11.1826.SM.5IJDS	Visceral	GTEX.13N11	Female
GTEX.13N11.2626.SM.5K7UQ	Subcutaneous	GTEX.13N11	Female
GTEX.13N1W.0226.SM.5K7W6	Subcutaneous	GTEX.13N1W	Male
GTEX.13N1W.1226.SM.5K7UM	Visceral	GTEX.13N1W	Male
GTEX.13N2G.1926.SM.5J1O3	Visceral	GTEX.13N2G	Male
GTEX.13N2G.2726.SM.5J1MG	Subcutaneous	GTEX.13N2G	Male
GTEX.13NYB.2626.SM.9YFMI	Subcutaneous	GTEX.13NYB	Male
